"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"styczeń";"szynka wieprzowa gotowana - za 1kg";"cena";"2018";28,12;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"kiełbasa wędzona (2) - za 1kg";"cena";"2018";19,07;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2018";1,92;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jaja kurze świeże - za 1szt";"cena";"2018";0,72;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pomarańcze - za 1kg";"cena";"2018";6,03;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"cebula - za 1 kg";"cena";"2018";2,15;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"czekolada mleczna - za 100g";"cena";"2018";4,03;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";2,87;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2018";27,55;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2018";4,72;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"szynka wieprzowa gotowana - za 1kg";"cena";"2018";27,95;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"kiełbasa wędzona (2) - za 1kg";"cena";"2018";19,10;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2018";1,95;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jaja kurze świeże - za 1szt";"cena";"2018";0,70;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pomarańcze - za 1kg";"cena";"2018";5,88;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"cebula - za 1 kg";"cena";"2018";2,11;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"czekolada mleczna - za 100g";"cena";"2018";4,01;"zł";"";
