"Kod";"Nazwa";"Wykaz";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2014";21;"ob.";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2015";19;"ob.";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2016";18;"ob.";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2017";20;"ob.";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2018";17;"ob.";"";
0200000;"DOLNOŚLĄSKIE";"łóżka stan w dniu 31.12";"2014";855;"-";"";
0200000;"DOLNOŚLĄSKIE";"łóżka stan w dniu 31.12";"2015";756;"-";"";
0200000;"DOLNOŚLĄSKIE";"łóżka stan w dniu 31.12";"2016";689;"-";"";
0200000;"DOLNOŚLĄSKIE";"łóżka stan w dniu 31.12";"2017";1049;"-";"";
0200000;"DOLNOŚLĄSKIE";"łóżka stan w dniu 31.12";"2018";841;"-";"";
0200000;"DOLNOŚLĄSKIE";"pacjenci";"2014";1659;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"pacjenci";"2015";1515;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"pacjenci";"2016";1571;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"pacjenci";"2017";1897;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"pacjenci";"2018";1483;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2014";11;"ob.";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2015";11;"ob.";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2016";11;"ob.";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2017";12;"ob.";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2018";11;"ob.";"";
0400000;"KUJAWSKO-POMORSKIE";"łóżka stan w dniu 31.12";"2014";440;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"łóżka stan w dniu 31.12";"2015";458;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"łóżka stan w dniu 31.12";"2016";450;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"łóżka stan w dniu 31.12";"2017";460;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"łóżka stan w dniu 31.12";"2018";453;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"pacjenci";"2014";1073;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"pacjenci";"2015";1173;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"pacjenci";"2016";1032;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"pacjenci";"2017";1114;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"pacjenci";"2018";1081;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"2014";7;"ob.";"";
0600000;"LUBELSKIE";"ogółem";"2015";7;"ob.";"";
0600000;"LUBELSKIE";"ogółem";"2016";11;"ob.";"";
0600000;"LUBELSKIE";"ogółem";"2017";6;"ob.";"";
0600000;"LUBELSKIE";"ogółem";"2018";10;"ob.";"";
0600000;"LUBELSKIE";"łóżka stan w dniu 31.12";"2014";267;"-";"";
0600000;"LUBELSKIE";"łóżka stan w dniu 31.12";"2015";262;"-";"";
0600000;"LUBELSKIE";"łóżka stan w dniu 31.12";"2016";316;"-";"";
0600000;"LUBELSKIE";"łóżka stan w dniu 31.12";"2017";224;"-";"";
0600000;"LUBELSKIE";"łóżka stan w dniu 31.12";"2018";360;"-";"";
