"Kod";"Nazwa";"Zakres przedmiotowy";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2014";4;"ob.";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2015";5;"ob.";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2016";6;"ob.";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2017";6;"ob.";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2018";6;"ob.";"";
0200000;"DOLNOŚLĄSKIE";"łóżka stan w dniu 31.12";"2014";118;"-";"";
0200000;"DOLNOŚLĄSKIE";"łóżka stan w dniu 31.12";"2015";133;"-";"";
0200000;"DOLNOŚLĄSKIE";"łóżka stan w dniu 31.12";"2016";139;"-";"";
0200000;"DOLNOŚLĄSKIE";"łóżka stan w dniu 31.12";"2017";122;"-";"";
0200000;"DOLNOŚLĄSKIE";"łóżka stan w dniu 31.12";"2018";134;"-";"";
0200000;"DOLNOŚLĄSKIE";"pacjenci";"2014";1296;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"pacjenci";"2015";1435;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"pacjenci";"2016";1531;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"pacjenci";"2017";1570;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"pacjenci";"2018";1636;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2014";7;"ob.";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2015";7;"ob.";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2016";7;"ob.";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2017";3;"ob.";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2018";7;"ob.";"";
0400000;"KUJAWSKO-POMORSKIE";"łóżka stan w dniu 31.12";"2014";104;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"łóżka stan w dniu 31.12";"2015";100;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"łóżka stan w dniu 31.12";"2016";106;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"łóżka stan w dniu 31.12";"2017";43;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"łóżka stan w dniu 31.12";"2018";112;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"pacjenci";"2014";1667;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"pacjenci";"2015";1742;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"pacjenci";"2016";1570;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"pacjenci";"2017";552;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"pacjenci";"2018";1571;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"2014";5;"ob.";"";
0600000;"LUBELSKIE";"ogółem";"2015";5;"ob.";"";
0600000;"LUBELSKIE";"ogółem";"2016";5;"ob.";"";
0600000;"LUBELSKIE";"ogółem";"2017";5;"ob.";"";
0600000;"LUBELSKIE";"ogółem";"2018";4;"ob.";"";
0600000;"LUBELSKIE";"łóżka stan w dniu 31.12";"2014";72;"-";"";
0600000;"LUBELSKIE";"łóżka stan w dniu 31.12";"2015";72;"-";"";
0600000;"LUBELSKIE";"łóżka stan w dniu 31.12";"2016";66;"-";"";
0600000;"LUBELSKIE";"łóżka stan w dniu 31.12";"2017";87;"-";"";
0600000;"LUBELSKIE";"łóżka stan w dniu 31.12";"2018";52;"-";"";
0600000;"LUBELSKIE";"pacjenci";"2014";1266;"osoba";"";
0600000;"LUBELSKIE";"pacjenci";"2015";1307;"osoba";"";
0600000;"LUBELSKIE";"pacjenci";"2016";1214;"osoba";"";
0600000;"LUBELSKIE";"pacjenci";"2017";1187;"osoba";"";
0600000;"LUBELSKIE";"pacjenci";"2018";976;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"2014";1;"ob.";"";
0800000;"LUBUSKIE";"ogółem";"2015";1;"ob.";"";
0800000;"LUBUSKIE";"ogółem";"2016";1;"ob.";"";
0800000;"LUBUSKIE";"ogółem";"2017";1;"ob.";"";
0800000;"LUBUSKIE";"ogółem";"2018";1;"ob.";"";
0800000;"LUBUSKIE";"łóżka stan w dniu 31.12";"2014";15;"-";"";
0800000;"LUBUSKIE";"łóżka stan w dniu 31.12";"2015";17;"-";"";
0800000;"LUBUSKIE";"łóżka stan w dniu 31.12";"2016";17;"-";"";
0800000;"LUBUSKIE";"łóżka stan w dniu 31.12";"2017";18;"-";"";
0800000;"LUBUSKIE";"łóżka stan w dniu 31.12";"2018";18;"-";"";
0800000;"LUBUSKIE";"pacjenci";"2014";235;"osoba";"";
0800000;"LUBUSKIE";"pacjenci";"2015";224;"osoba";"";
0800000;"LUBUSKIE";"pacjenci";"2016";257;"osoba";"";
0800000;"LUBUSKIE";"pacjenci";"2017";233;"osoba";"";
0800000;"LUBUSKIE";"pacjenci";"2018";262;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"2014";5;"ob.";"";
1000000;"ŁÓDZKIE";"ogółem";"2015";6;"ob.";"";
1000000;"ŁÓDZKIE";"ogółem";"2016";6;"ob.";"";
1000000;"ŁÓDZKIE";"ogółem";"2017";6;"ob.";"";
1000000;"ŁÓDZKIE";"ogółem";"2018";1;"ob.";"";
1000000;"ŁÓDZKIE";"łóżka stan w dniu 31.12";"2014";89;"-";"";
1000000;"ŁÓDZKIE";"łóżka stan w dniu 31.12";"2015";107;"-";"";
1000000;"ŁÓDZKIE";"łóżka stan w dniu 31.12";"2016";107;"-";"";
1000000;"ŁÓDZKIE";"łóżka stan w dniu 31.12";"2017";111;"-";"";
1000000;"ŁÓDZKIE";"łóżka stan w dniu 31.12";"2018";21;"-";"";
1000000;"ŁÓDZKIE";"pacjenci";"2014";1731;"osoba";"";
1000000;"ŁÓDZKIE";"pacjenci";"2015";2010;"osoba";"";
1000000;"ŁÓDZKIE";"pacjenci";"2016";1987;"osoba";"";
1000000;"ŁÓDZKIE";"pacjenci";"2017";1934;"osoba";"";
1000000;"ŁÓDZKIE";"pacjenci";"2018";468;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2014";9;"ob.";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2015";8;"ob.";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2016";8;"ob.";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2017";8;"ob.";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2018";5;"ob.";"";
1200000;"MAŁOPOLSKIE";"łóżka stan w dniu 31.12";"2014";160;"-";"";
1200000;"MAŁOPOLSKIE";"łóżka stan w dniu 31.12";"2015";131;"-";"";
1200000;"MAŁOPOLSKIE";"łóżka stan w dniu 31.12";"2016";159;"-";"";
1200000;"MAŁOPOLSKIE";"łóżka stan w dniu 31.12";"2017";156;"-";"";
1200000;"MAŁOPOLSKIE";"łóżka stan w dniu 31.12";"2018";95;"-";"";
1200000;"MAŁOPOLSKIE";"pacjenci";"2014";2337;"osoba";"";
1200000;"MAŁOPOLSKIE";"pacjenci";"2015";2149;"osoba";"";
1200000;"MAŁOPOLSKIE";"pacjenci";"2016";2102;"osoba";"";
1200000;"MAŁOPOLSKIE";"pacjenci";"2017";1886;"osoba";"";
1200000;"MAŁOPOLSKIE";"pacjenci";"2018";940;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"2014";6;"ob.";"";
1400000;"MAZOWIECKIE";"ogółem";"2015";6;"ob.";"";
1400000;"MAZOWIECKIE";"ogółem";"2016";6;"ob.";"";
1400000;"MAZOWIECKIE";"ogółem";"2017";5;"ob.";"";
1400000;"MAZOWIECKIE";"ogółem";"2018";2;"ob.";"";
1400000;"MAZOWIECKIE";"łóżka stan w dniu 31.12";"2014";67;"-";"";
1400000;"MAZOWIECKIE";"łóżka stan w dniu 31.12";"2015";65;"-";"";
1400000;"MAZOWIECKIE";"łóżka stan w dniu 31.12";"2016";68;"-";"";
1400000;"MAZOWIECKIE";"łóżka stan w dniu 31.12";"2017";52;"-";"";
1400000;"MAZOWIECKIE";"łóżka stan w dniu 31.12";"2018";26;"-";"";
1400000;"MAZOWIECKIE";"pacjenci";"2014";1052;"osoba";"";
1400000;"MAZOWIECKIE";"pacjenci";"2015";1126;"osoba";"";
1400000;"MAZOWIECKIE";"pacjenci";"2016";1109;"osoba";"";
1400000;"MAZOWIECKIE";"pacjenci";"2017";869;"osoba";"";
1400000;"MAZOWIECKIE";"pacjenci";"2018";449;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"2014";2;"ob.";"";
1600000;"OPOLSKIE";"ogółem";"2015";3;"ob.";"";
1600000;"OPOLSKIE";"ogółem";"2016";3;"ob.";"";
1600000;"OPOLSKIE";"ogółem";"2017";2;"ob.";"";
1600000;"OPOLSKIE";"ogółem";"2018";2;"ob.";"";
1600000;"OPOLSKIE";"łóżka stan w dniu 31.12";"2014";32;"-";"";
1600000;"OPOLSKIE";"łóżka stan w dniu 31.12";"2015";46;"-";"";
1600000;"OPOLSKIE";"łóżka stan w dniu 31.12";"2016";42;"-";"";
1600000;"OPOLSKIE";"łóżka stan w dniu 31.12";"2017";26;"-";"";
1600000;"OPOLSKIE";"łóżka stan w dniu 31.12";"2018";29;"-";"";
1600000;"OPOLSKIE";"pacjenci";"2014";393;"osoba";"";
1600000;"OPOLSKIE";"pacjenci";"2015";648;"osoba";"";
1600000;"OPOLSKIE";"pacjenci";"2016";554;"osoba";"";
1600000;"OPOLSKIE";"pacjenci";"2017";390;"osoba";"";
1600000;"OPOLSKIE";"pacjenci";"2018";461;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"2014";2;"ob.";"";
1800000;"PODKARPACKIE";"ogółem";"2015";2;"ob.";"";
1800000;"PODKARPACKIE";"ogółem";"2016";3;"ob.";"";
1800000;"PODKARPACKIE";"ogółem";"2017";4;"ob.";"";
1800000;"PODKARPACKIE";"ogółem";"2018";1;"ob.";"";
1800000;"PODKARPACKIE";"łóżka stan w dniu 31.12";"2014";29;"-";"";
1800000;"PODKARPACKIE";"łóżka stan w dniu 31.12";"2015";29;"-";"";
1800000;"PODKARPACKIE";"łóżka stan w dniu 31.12";"2016";50;"-";"";
1800000;"PODKARPACKIE";"łóżka stan w dniu 31.12";"2017";80;"-";"";
1800000;"PODKARPACKIE";"łóżka stan w dniu 31.12";"2018";30;"-";"";
1800000;"PODKARPACKIE";"pacjenci";"2014";699;"osoba";"";
1800000;"PODKARPACKIE";"pacjenci";"2015";725;"osoba";"";
1800000;"PODKARPACKIE";"pacjenci";"2016";1028;"osoba";"";
1800000;"PODKARPACKIE";"pacjenci";"2017";1711;"osoba";"";
1800000;"PODKARPACKIE";"pacjenci";"2018";469;"osoba";"";
2000000;"PODLASKIE";"ogółem";"2014";3;"ob.";"";
2000000;"PODLASKIE";"ogółem";"2015";2;"ob.";"";
2000000;"PODLASKIE";"ogółem";"2016";2;"ob.";"";
2000000;"PODLASKIE";"ogółem";"2017";2;"ob.";"";
2000000;"PODLASKIE";"ogółem";"2018";3;"ob.";"";
2000000;"PODLASKIE";"łóżka stan w dniu 31.12";"2014";22;"-";"";
2000000;"PODLASKIE";"łóżka stan w dniu 31.12";"2015";14;"-";"";
2000000;"PODLASKIE";"łóżka stan w dniu 31.12";"2016";14;"-";"";
2000000;"PODLASKIE";"łóżka stan w dniu 31.12";"2017";16;"-";"";
2000000;"PODLASKIE";"łóżka stan w dniu 31.12";"2018";20;"-";"";
2000000;"PODLASKIE";"pacjenci";"2014";259;"osoba";"";
2000000;"PODLASKIE";"pacjenci";"2015";221;"osoba";"";
2000000;"PODLASKIE";"pacjenci";"2016";151;"osoba";"";
2000000;"PODLASKIE";"pacjenci";"2017";130;"osoba";"";
2000000;"PODLASKIE";"pacjenci";"2018";154;"osoba";"";
2200000;"POMORSKIE";"ogółem";"2014";0;"ob.";"";
2200000;"POMORSKIE";"ogółem";"2015";0;"ob.";"";
2200000;"POMORSKIE";"ogółem";"2016";0;"ob.";"";
2200000;"POMORSKIE";"ogółem";"2017";1;"ob.";"";
2200000;"POMORSKIE";"ogółem";"2018";1;"ob.";"";
