"Kod";"Nazwa";"Wiek";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"0-4";"ogółem";"1995";2430122;"osoba";"";
0000000;"POLSKA";"0-4";"ogółem";"1996";2315584;"osoba";"";
0000000;"POLSKA";"0-4";"ogółem";"1997";2218068;"osoba";"";
0000000;"POLSKA";"0-4";"ogółem";"1998";2124048;"osoba";"";
0000000;"POLSKA";"0-4";"ogółem";"1999";2047625;"osoba";"";
0000000;"POLSKA";"0-4";"ogółem";"2000";1984868;"osoba";"";
0000000;"POLSKA";"0-4";"ogółem";"2001";1919827;"osoba";"";
0000000;"POLSKA";"0-4";"ogółem";"2002";1864285;"osoba";"";
0000000;"POLSKA";"0-4";"ogółem";"2003";1821176;"osoba";"";
0000000;"POLSKA";"0-4";"ogółem";"2004";1794481;"osoba";"";
0000000;"POLSKA";"0-4";"ogółem";"2005";1780631;"osoba";"";
0000000;"POLSKA";"0-4";"ogółem";"2006";1789721;"osoba";"";
0000000;"POLSKA";"0-4";"ogółem";"2007";1823446;"osoba";"";
0000000;"POLSKA";"0-4";"ogółem";"2008";1888342;"osoba";"";
0000000;"POLSKA";"0-4";"ogółem";"2009";1952800;"osoba";"";
0000000;"POLSKA";"0-4";"ogółem";"2010";2066623;"osoba";"";
0000000;"POLSKA";"0-4";"ogółem";"2011";2072768;"osoba";"";
0000000;"POLSKA";"0-4";"ogółem";"2012";2056255;"osoba";"";
0000000;"POLSKA";"0-4";"ogółem";"2013";1994096;"osoba";"";
0000000;"POLSKA";"0-4";"ogółem";"2014";1936077;"osoba";"";
0000000;"POLSKA";"0-4";"ogółem";"2015";1891675;"osoba";"";
0000000;"POLSKA";"0-4";"ogółem";"2016";1880723;"osoba";"";
0000000;"POLSKA";"0-4";"ogółem";"2017";1896151;"osoba";"";
0000000;"POLSKA";"0-4";"ogółem";"2018";1916734;"osoba";"";
0000000;"POLSKA";"0-4";"ogółem";"2019";;"osoba";"n";
0000000;"POLSKA";"5-9";"ogółem";"1995";2874669;"osoba";"";
0000000;"POLSKA";"5-9";"ogółem";"1996";2791384;"osoba";"";
0000000;"POLSKA";"5-9";"ogółem";"1997";2704885;"osoba";"";
0000000;"POLSKA";"5-9";"ogółem";"1998";2614519;"osoba";"";
0000000;"POLSKA";"5-9";"ogółem";"1999";2540485;"osoba";"";
0000000;"POLSKA";"5-9";"ogółem";"2000";2428903;"osoba";"";
0000000;"POLSKA";"5-9";"ogółem";"2001";2320034;"osoba";"";
0000000;"POLSKA";"5-9";"ogółem";"2002";2221448;"osoba";"";
0000000;"POLSKA";"5-9";"ogółem";"2003";2129304;"osoba";"";
0000000;"POLSKA";"5-9";"ogółem";"2004";2045472;"osoba";"";
0000000;"POLSKA";"5-9";"ogółem";"2005";1982614;"osoba";"";
0000000;"POLSKA";"5-9";"ogółem";"2006";1916603;"osoba";"";
0000000;"POLSKA";"5-9";"ogółem";"2007";1860557;"osoba";"";
0000000;"POLSKA";"5-9";"ogółem";"2008";1816833;"osoba";"";
0000000;"POLSKA";"5-9";"ogółem";"2009";1790025;"osoba";"";
0000000;"POLSKA";"5-9";"ogółem";"2010";1803475;"osoba";"";
0000000;"POLSKA";"5-9";"ogółem";"2011";1819112;"osoba";"";
0000000;"POLSKA";"5-9";"ogółem";"2012";1867591;"osoba";"";
0000000;"POLSKA";"5-9";"ogółem";"2013";1946471;"osoba";"";
0000000;"POLSKA";"5-9";"ogółem";"2014";2021433;"osoba";"";
0000000;"POLSKA";"5-9";"ogółem";"2015";2065550;"osoba";"";
0000000;"POLSKA";"5-9";"ogółem";"2016";2079236;"osoba";"";
0000000;"POLSKA";"5-9";"ogółem";"2017";2065610;"osoba";"";
0000000;"POLSKA";"5-9";"ogółem";"2018";2005690;"osoba";"";
0000000;"POLSKA";"5-9";"ogółem";"2019";;"osoba";"n";
0000000;"POLSKA";"10-14";"ogółem";"1995";3373373;"osoba";"";
0000000;"POLSKA";"10-14";"ogółem";"1996";3339091;"osoba";"";
0000000;"POLSKA";"10-14";"ogółem";"1997";3246563;"osoba";"";
0000000;"POLSKA";"10-14";"ogółem";"1998";3122480;"osoba";"";
0000000;"POLSKA";"10-14";"ogółem";"1999";2993815;"osoba";"";
0000000;"POLSKA";"10-14";"ogółem";"2000";2880680;"osoba";"";
0000000;"POLSKA";"10-14";"ogółem";"2001";2799363;"osoba";"";
0000000;"POLSKA";"10-14";"ogółem";"2002";2718531;"osoba";"";
0000000;"POLSKA";"10-14";"ogółem";"2003";2629691;"osoba";"";
0000000;"POLSKA";"10-14";"ogółem";"2004";2537284;"osoba";"";
0000000;"POLSKA";"10-14";"ogółem";"2005";2425930;"osoba";"";
0000000;"POLSKA";"10-14";"ogółem";"2006";2316036;"osoba";"";
0000000;"POLSKA";"10-14";"ogółem";"2007";2216875;"osoba";"";
0000000;"POLSKA";"10-14";"ogółem";"2008";2124265;"osoba";"";
0000000;"POLSKA";"10-14";"ogółem";"2009";2039952;"osoba";"";
0000000;"POLSKA";"10-14";"ogółem";"2010";1985668;"osoba";"";
0000000;"POLSKA";"10-14";"ogółem";"2011";1927097;"osoba";"";
0000000;"POLSKA";"10-14";"ogółem";"2012";1872768;"osoba";"";
0000000;"POLSKA";"10-14";"ogółem";"2013";1830859;"osoba";"";
0000000;"POLSKA";"10-14";"ogółem";"2014";1806641;"osoba";"";
0000000;"POLSKA";"10-14";"ogółem";"2015";1797339;"osoba";"";
0000000;"POLSKA";"10-14";"ogółem";"2016";1813405;"osoba";"";
0000000;"POLSKA";"10-14";"ogółem";"2017";1862458;"osoba";"";
0000000;"POLSKA";"10-14";"ogółem";"2018";1942818;"osoba";"";
0000000;"POLSKA";"10-14";"ogółem";"2019";;"osoba";"n";
0000000;"POLSKA";"15-19";"ogółem";"1995";3236727;"osoba";"";
0000000;"POLSKA";"15-19";"ogółem";"1996";3244853;"osoba";"";
0000000;"POLSKA";"15-19";"ogółem";"1997";3292480;"osoba";"";
0000000;"POLSKA";"15-19";"ogółem";"1998";3343129;"osoba";"";
0000000;"POLSKA";"15-19";"ogółem";"1999";3333705;"osoba";"";
0000000;"POLSKA";"15-19";"ogółem";"2000";3342370;"osoba";"";
0000000;"POLSKA";"15-19";"ogółem";"2001";3317404;"osoba";"";
0000000;"POLSKA";"15-19";"ogółem";"2002";3231176;"osoba";"";
0000000;"POLSKA";"15-19";"ogółem";"2003";3105666;"osoba";"";
0000000;"POLSKA";"15-19";"ogółem";"2004";2980474;"osoba";"";
0000000;"POLSKA";"15-19";"ogółem";"2005";2869283;"osoba";"";
0000000;"POLSKA";"15-19";"ogółem";"2006";2788120;"osoba";"";
0000000;"POLSKA";"15-19";"ogółem";"2007";2708279;"osoba";"";
0000000;"POLSKA";"15-19";"ogółem";"2008";2620293;"osoba";"";
0000000;"POLSKA";"15-19";"ogółem";"2009";2529063;"osoba";"";
0000000;"POLSKA";"15-19";"ogółem";"2010";2424340;"osoba";"";
0000000;"POLSKA";"15-19";"ogółem";"2011";2314724;"osoba";"";
0000000;"POLSKA";"15-19";"ogółem";"2012";2218662;"osoba";"";
0000000;"POLSKA";"15-19";"ogółem";"2013";2124309;"osoba";"";
0000000;"POLSKA";"15-19";"ogółem";"2014";2038497;"osoba";"";
0000000;"POLSKA";"15-19";"ogółem";"2015";1977716;"osoba";"";
