"Kod";"Nazwa";"Wiek";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"30-34";"kobiety";"1995";1283701;"osoba";"";
0000000;"POLSKA";"30-34";"kobiety";"1996";1250094;"osoba";"";
0000000;"POLSKA";"30-34";"kobiety";"1997";1220680;"osoba";"";
0000000;"POLSKA";"30-34";"kobiety";"1998";1200600;"osoba";"";
0000000;"POLSKA";"30-34";"kobiety";"1999";1177785;"osoba";"";
0000000;"POLSKA";"30-34";"kobiety";"2000";1184524;"osoba";"";
0000000;"POLSKA";"30-34";"kobiety";"2001";1202759;"osoba";"";
0000000;"POLSKA";"30-34";"kobiety";"2002";1233117;"osoba";"";
0000000;"POLSKA";"30-34";"kobiety";"2003";1269749;"osoba";"";
0000000;"POLSKA";"30-34";"kobiety";"2004";1314171;"osoba";"";
0000000;"POLSKA";"30-34";"kobiety";"2005";1359571;"osoba";"";
0000000;"POLSKA";"30-34";"kobiety";"2006";1406445;"osoba";"";
0000000;"POLSKA";"30-34";"kobiety";"2007";1440417;"osoba";"";
0000000;"POLSKA";"30-34";"kobiety";"2008";1470820;"osoba";"";
0000000;"POLSKA";"30-34";"kobiety";"2009";1498293;"osoba";"";
0000000;"POLSKA";"30-34";"kobiety";"2010";1543444;"osoba";"";
0000000;"POLSKA";"30-34";"kobiety";"2011";1548669;"osoba";"";
0000000;"POLSKA";"30-34";"kobiety";"2012";1568222;"osoba";"";
0000000;"POLSKA";"30-34";"kobiety";"2013";1595440;"osoba";"";
0000000;"POLSKA";"30-34";"kobiety";"2014";1604195;"osoba";"";
0000000;"POLSKA";"30-34";"kobiety";"2015";1600190;"osoba";"";
0000000;"POLSKA";"30-34";"kobiety";"2016";1586316;"osoba";"";
0000000;"POLSKA";"30-34";"kobiety";"2017";1546286;"osoba";"";
0000000;"POLSKA";"30-34";"kobiety";"2018";1490394;"osoba";"";
0000000;"POLSKA";"35-39";"kobiety";"1995";1582269;"osoba";"";
0000000;"POLSKA";"35-39";"kobiety";"1996";1520329;"osoba";"";
0000000;"POLSKA";"35-39";"kobiety";"1997";1451502;"osoba";"";
0000000;"POLSKA";"35-39";"kobiety";"1998";1382959;"osoba";"";
0000000;"POLSKA";"35-39";"kobiety";"1999";1303022;"osoba";"";
0000000;"POLSKA";"35-39";"kobiety";"2000";1254837;"osoba";"";
0000000;"POLSKA";"35-39";"kobiety";"2001";1221555;"osoba";"";
0000000;"POLSKA";"35-39";"kobiety";"2002";1196938;"osoba";"";
0000000;"POLSKA";"35-39";"kobiety";"2003";1178523;"osoba";"";
0000000;"POLSKA";"35-39";"kobiety";"2004";1170096;"osoba";"";
0000000;"POLSKA";"35-39";"kobiety";"2005";1177496;"osoba";"";
0000000;"POLSKA";"35-39";"kobiety";"2006";1195108;"osoba";"";
0000000;"POLSKA";"35-39";"kobiety";"2007";1225504;"osoba";"";
0000000;"POLSKA";"35-39";"kobiety";"2008";1261342;"osoba";"";
0000000;"POLSKA";"35-39";"kobiety";"2009";1305048;"osoba";"";
0000000;"POLSKA";"35-39";"kobiety";"2010";1363726;"osoba";"";
0000000;"POLSKA";"35-39";"kobiety";"2011";1413346;"osoba";"";
0000000;"POLSKA";"35-39";"kobiety";"2012";1452137;"osoba";"";
0000000;"POLSKA";"35-39";"kobiety";"2013";1482557;"osoba";"";
0000000;"POLSKA";"35-39";"kobiety";"2014";1511142;"osoba";"";
0000000;"POLSKA";"35-39";"kobiety";"2015";1531920;"osoba";"";
0000000;"POLSKA";"35-39";"kobiety";"2016";1537540;"osoba";"";
0000000;"POLSKA";"35-39";"kobiety";"2017";1557494;"osoba";"";
0000000;"POLSKA";"35-39";"kobiety";"2018";1586506;"osoba";"";
0000000;"POLSKA";"40-44";"kobiety";"1995";1610160;"osoba";"";
