"Kod";"Nazwa";"Wiek";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"30-34";"mężczyźni";"1995";1316670;"osoba";"";
0000000;"POLSKA";"30-34";"mężczyźni";"1996";1283090;"osoba";"";
0000000;"POLSKA";"30-34";"mężczyźni";"1997";1256707;"osoba";"";
0000000;"POLSKA";"30-34";"mężczyźni";"1998";1241241;"osoba";"";
0000000;"POLSKA";"30-34";"mężczyźni";"1999";1211205;"osoba";"";
0000000;"POLSKA";"30-34";"mężczyźni";"2000";1218803;"osoba";"";
0000000;"POLSKA";"30-34";"mężczyźni";"2001";1236623;"osoba";"";
0000000;"POLSKA";"30-34";"mężczyźni";"2002";1268469;"osoba";"";
0000000;"POLSKA";"30-34";"mężczyźni";"2003";1304736;"osoba";"";
0000000;"POLSKA";"30-34";"mężczyźni";"2004";1350781;"osoba";"";
0000000;"POLSKA";"30-34";"mężczyźni";"2005";1394972;"osoba";"";
0000000;"POLSKA";"30-34";"mężczyźni";"2006";1442255;"osoba";"";
0000000;"POLSKA";"30-34";"mężczyźni";"2007";1477135;"osoba";"";
0000000;"POLSKA";"30-34";"mężczyźni";"2008";1508249;"osoba";"";
0000000;"POLSKA";"30-34";"mężczyźni";"2009";1536639;"osoba";"";
0000000;"POLSKA";"30-34";"mężczyźni";"2010";1588246;"osoba";"";
0000000;"POLSKA";"30-34";"mężczyźni";"2011";1592601;"osoba";"";
0000000;"POLSKA";"30-34";"mężczyźni";"2012";1612744;"osoba";"";
0000000;"POLSKA";"30-34";"mężczyźni";"2013";1639758;"osoba";"";
0000000;"POLSKA";"30-34";"mężczyźni";"2014";1648213;"osoba";"";
0000000;"POLSKA";"30-34";"mężczyźni";"2015";1645284;"osoba";"";
0000000;"POLSKA";"30-34";"mężczyźni";"2016";1631035;"osoba";"";
0000000;"POLSKA";"30-34";"mężczyźni";"2017";1590083;"osoba";"";
0000000;"POLSKA";"30-34";"mężczyźni";"2018";1533667;"osoba";"";
0000000;"POLSKA";"35-39";"mężczyźni";"1995";1601953;"osoba";"";
0000000;"POLSKA";"35-39";"mężczyźni";"1996";1541731;"osoba";"";
0000000;"POLSKA";"35-39";"mężczyźni";"1997";1472399;"osoba";"";
0000000;"POLSKA";"35-39";"mężczyźni";"1998";1402958;"osoba";"";
0000000;"POLSKA";"35-39";"mężczyźni";"1999";1322606;"osoba";"";
0000000;"POLSKA";"35-39";"mężczyźni";"2000";1277923;"osoba";"";
0000000;"POLSKA";"35-39";"mężczyźni";"2001";1246266;"osoba";"";
0000000;"POLSKA";"35-39";"mężczyźni";"2002";1221868;"osoba";"";
0000000;"POLSKA";"35-39";"mężczyźni";"2003";1204772;"osoba";"";
0000000;"POLSKA";"35-39";"mężczyźni";"2004";1196251;"osoba";"";
0000000;"POLSKA";"35-39";"mężczyźni";"2005";1204078;"osoba";"";
0000000;"POLSKA";"35-39";"mężczyźni";"2006";1220931;"osoba";"";
0000000;"POLSKA";"35-39";"mężczyźni";"2007";1252412;"osoba";"";
0000000;"POLSKA";"35-39";"mężczyźni";"2008";1288160;"osoba";"";
0000000;"POLSKA";"35-39";"mężczyźni";"2009";1333609;"osoba";"";
0000000;"POLSKA";"35-39";"mężczyźni";"2010";1399739;"osoba";"";
0000000;"POLSKA";"35-39";"mężczyźni";"2011";1450974;"osoba";"";
0000000;"POLSKA";"35-39";"mężczyźni";"2012";1490406;"osoba";"";
0000000;"POLSKA";"35-39";"mężczyźni";"2013";1521716;"osoba";"";
0000000;"POLSKA";"35-39";"mężczyźni";"2014";1550921;"osoba";"";
0000000;"POLSKA";"35-39";"mężczyźni";"2015";1570926;"osoba";"";
0000000;"POLSKA";"35-39";"mężczyźni";"2016";1575672;"osoba";"";
0000000;"POLSKA";"35-39";"mężczyźni";"2017";1596198;"osoba";"";
0000000;"POLSKA";"35-39";"mężczyźni";"2018";1624235;"osoba";"";
0000000;"POLSKA";"40-44";"mężczyźni";"1995";1598501;"osoba";"";
0000000;"POLSKA";"40-44";"mężczyźni";"1996";1613727;"osoba";"";
0000000;"POLSKA";"40-44";"mężczyźni";"1997";1622753;"osoba";"";
0000000;"POLSKA";"40-44";"mężczyźni";"1998";1624790;"osoba";"";
0000000;"POLSKA";"40-44";"mężczyźni";"1999";1578832;"osoba";"";
0000000;"POLSKA";"40-44";"mężczyźni";"2000";1534598;"osoba";"";
0000000;"POLSKA";"40-44";"mężczyźni";"2001";1478725;"osoba";"";
0000000;"POLSKA";"40-44";"mężczyźni";"2002";1412925;"osoba";"";
0000000;"POLSKA";"40-44";"mężczyźni";"2003";1350555;"osoba";"";
0000000;"POLSKA";"40-44";"mężczyźni";"2004";1295588;"osoba";"";
0000000;"POLSKA";"40-44";"mężczyźni";"2005";1252692;"osoba";"";
0000000;"POLSKA";"40-44";"mężczyźni";"2006";1221202;"osoba";"";
0000000;"POLSKA";"40-44";"mężczyźni";"2007";1197456;"osoba";"";
0000000;"POLSKA";"40-44";"mężczyźni";"2008";1180900;"osoba";"";
0000000;"POLSKA";"40-44";"mężczyźni";"2009";1173044;"osoba";"";
0000000;"POLSKA";"40-44";"mężczyźni";"2010";1198196;"osoba";"";
0000000;"POLSKA";"40-44";"mężczyźni";"2011";1215726;"osoba";"";
0000000;"POLSKA";"40-44";"mężczyźni";"2012";1246327;"osoba";"";
0000000;"POLSKA";"40-44";"mężczyźni";"2013";1284484;"osoba";"";
0000000;"POLSKA";"40-44";"mężczyźni";"2014";1331012;"osoba";"";
0000000;"POLSKA";"40-44";"mężczyźni";"2015";1378023;"osoba";"";
0000000;"POLSKA";"40-44";"mężczyźni";"2016";1429524;"osoba";"";
0000000;"POLSKA";"40-44";"mężczyźni";"2017";1469180;"osoba";"";
0000000;"POLSKA";"40-44";"mężczyźni";"2018";1500952;"osoba";"";
0000000;"POLSKA";"45-49";"mężczyźni";"1995";1340339;"osoba";"";
0000000;"POLSKA";"45-49";"mężczyźni";"1996";1405637;"osoba";"";
0000000;"POLSKA";"45-49";"mężczyźni";"1997";1455562;"osoba";"";
0000000;"POLSKA";"45-49";"mężczyźni";"1998";1488646;"osoba";"";
0000000;"POLSKA";"45-49";"mężczyźni";"1999";1493625;"osoba";"";
0000000;"POLSKA";"45-49";"mężczyźni";"2000";1518843;"osoba";"";
0000000;"POLSKA";"45-49";"mężczyźni";"2001";1531790;"osoba";"";
0000000;"POLSKA";"45-49";"mężczyźni";"2002";1540591;"osoba";"";
0000000;"POLSKA";"45-49";"mężczyźni";"2003";1541606;"osoba";"";
0000000;"POLSKA";"45-49";"mężczyźni";"2004";1528511;"osoba";"";
0000000;"POLSKA";"45-49";"mężczyźni";"2005";1486330;"osoba";"";
0000000;"POLSKA";"45-49";"mężczyźni";"2006";1431490;"osoba";"";
0000000;"POLSKA";"45-49";"mężczyźni";"2007";1368044;"osoba";"";
0000000;"POLSKA";"45-49";"mężczyźni";"2008";1307883;"osoba";"";
0000000;"POLSKA";"45-49";"mężczyźni";"2009";1255836;"osoba";"";
0000000;"POLSKA";"45-49";"mężczyźni";"2010";1237100;"osoba";"";
0000000;"POLSKA";"45-49";"mężczyźni";"2011";1207408;"osoba";"";
0000000;"POLSKA";"45-49";"mężczyźni";"2012";1185730;"osoba";"";
0000000;"POLSKA";"45-49";"mężczyźni";"2013";1169458;"osoba";"";
0000000;"POLSKA";"45-49";"mężczyźni";"2014";1162178;"osoba";"";
0000000;"POLSKA";"45-49";"mężczyźni";"2015";1170027;"osoba";"";
0000000;"POLSKA";"45-49";"mężczyźni";"2016";1188028;"osoba";"";
0000000;"POLSKA";"45-49";"mężczyźni";"2017";1218927;"osoba";"";
0000000;"POLSKA";"45-49";"mężczyźni";"2018";1257622;"osoba";"";
0000000;"POLSKA";"50-54";"mężczyźni";"1995";808221;"osoba";"";
0000000;"POLSKA";"50-54";"mężczyźni";"1996";865048;"osoba";"";
0000000;"POLSKA";"50-54";"mężczyźni";"1997";952179;"osoba";"";
0000000;"POLSKA";"50-54";"mężczyźni";"1998";1056786;"osoba";"";
0000000;"POLSKA";"50-54";"mężczyźni";"1999";1145655;"osoba";"";
0000000;"POLSKA";"50-54";"mężczyźni";"2000";1257708;"osoba";"";
0000000;"POLSKA";"50-54";"mężczyźni";"2001";1319626;"osoba";"";
0000000;"POLSKA";"50-54";"mężczyźni";"2002";1364849;"osoba";"";
0000000;"POLSKA";"50-54";"mężczyźni";"2003";1396570;"osoba";"";
0000000;"POLSKA";"50-54";"mężczyźni";"2004";1423399;"osoba";"";
0000000;"POLSKA";"50-54";"mężczyźni";"2005";1448284;"osoba";"";
0000000;"POLSKA";"50-54";"mężczyźni";"2006";1460799;"osoba";"";
0000000;"POLSKA";"50-54";"mężczyźni";"2007";1468742;"osoba";"";
0000000;"POLSKA";"50-54";"mężczyźni";"2008";1469078;"osoba";"";
0000000;"POLSKA";"50-54";"mężczyźni";"2009";1457314;"osoba";"";
0000000;"POLSKA";"50-54";"mężczyźni";"2010";1450268;"osoba";"";
0000000;"POLSKA";"50-54";"mężczyźni";"2011";1399877;"osoba";"";
0000000;"POLSKA";"50-54";"mężczyźni";"2012";1339104;"osoba";"";
0000000;"POLSKA";"50-54";"mężczyźni";"2013";1281345;"osoba";"";
0000000;"POLSKA";"50-54";"mężczyźni";"2014";1230429;"osoba";"";
0000000;"POLSKA";"50-54";"mężczyźni";"2015";1192044;"osoba";"";
0000000;"POLSKA";"50-54";"mężczyźni";"2016";1165271;"osoba";"";
0000000;"POLSKA";"50-54";"mężczyźni";"2017";1145692;"osoba";"";
0000000;"POLSKA";"50-54";"mężczyźni";"2018";1131109;"osoba";"";
0000000;"POLSKA";"55-59";"mężczyźni";"1995";857265;"osoba";"";
0000000;"POLSKA";"55-59";"mężczyźni";"1996";831876;"osoba";"";
0000000;"POLSKA";"55-59";"mężczyźni";"1997";804037;"osoba";"";
0000000;"POLSKA";"55-59";"mężczyźni";"1998";780429;"osoba";"";
0000000;"POLSKA";"55-59";"mężczyźni";"1999";756735;"osoba";"";
0000000;"POLSKA";"55-59";"mężczyźni";"2000";742630;"osoba";"";
0000000;"POLSKA";"55-59";"mężczyźni";"2001";794521;"osoba";"";
0000000;"POLSKA";"55-59";"mężczyźni";"2002";877336;"osoba";"";
0000000;"POLSKA";"55-59";"mężczyźni";"2003";973092;"osoba";"";
0000000;"POLSKA";"55-59";"mężczyźni";"2004";1069583;"osoba";"";
0000000;"POLSKA";"55-59";"mężczyźni";"2005";1174259;"osoba";"";
0000000;"POLSKA";"55-59";"mężczyźni";"2006";1231346;"osoba";"";
0000000;"POLSKA";"55-59";"mężczyźni";"2007";1273194;"osoba";"";
0000000;"POLSKA";"55-59";"mężczyźni";"2008";1302953;"osoba";"";
0000000;"POLSKA";"55-59";"mężczyźni";"2009";1328423;"osoba";"";
0000000;"POLSKA";"55-59";"mężczyźni";"2010";1383927;"osoba";"";
0000000;"POLSKA";"55-59";"mężczyźni";"2011";1398651;"osoba";"";
0000000;"POLSKA";"55-59";"mężczyźni";"2012";1410083;"osoba";"";
0000000;"POLSKA";"55-59";"mężczyźni";"2013";1412715;"osoba";"";
0000000;"POLSKA";"55-59";"mężczyźni";"2014";1404861;"osoba";"";
0000000;"POLSKA";"55-59";"mężczyźni";"2015";1368248;"osoba";"";
0000000;"POLSKA";"55-59";"mężczyźni";"2016";1322200;"osoba";"";
0000000;"POLSKA";"55-59";"mężczyźni";"2017";1267175;"osoba";"";
0000000;"POLSKA";"55-59";"mężczyźni";"2018";1214426;"osoba";"";
