"Kod";"Nazwa";"Płeć";"Lokalizacje";"Wiek";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"1995";67,6;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"1996";68,1;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"1997";68,5;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"1998";68,9;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"1999";68,8;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2000";69,7;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2001";70,2;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2002";70,4;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2003";70,5;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2004";70,7;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2005";70,8;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2006";70,9;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2007";71,0;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2008";71,3;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2009";71,5;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2010";72,1;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2011";72,4;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2012";72,7;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2013";73,1;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2014";73,8;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2015";73,6;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2016";73,9;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2017";74,0;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2018";73,8;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2019";;"lata";"n";
0000000;"POLSKA";"mężczyźni";"ogółem";"15";"1995";53,9;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"15";"1996";54,3;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"15";"1997";54,5;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"15";"1998";54,8;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"15";"1999";54,8;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"15";"2000";55,6;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"15";"2001";56,0;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"15";"2002";56,2;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"15";"2003";56,3;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"15";"2004";56,4;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"15";"2005";56,5;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"15";"2006";56,6;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"15";"2007";56,6;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"15";"2008";56,9;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"15";"2009";57,1;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"15";"2010";57,6;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"15";"2011";58,0;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"15";"2012";58,2;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"15";"2013";58,6;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"15";"2014";59,2;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"15";"2015";59,0;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"15";"2016";59,4;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"15";"2017";59,4;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"15";"2018";59,3;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"15";"2019";;"lata";"n";
0000000;"POLSKA";"mężczyźni";"ogółem";"30";"1995";39,8;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"30";"1996";40,2;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"30";"1997";40,4;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"30";"1998";40,7;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"30";"1999";40,6;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"30";"2000";41,4;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"30";"2001";41,8;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"30";"2002";42,0;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"30";"2003";42,0;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"30";"2004";42,1;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"30";"2005";42,2;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"30";"2006";42,3;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"30";"2007";42,4;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"30";"2008";42,6;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"30";"2009";42,9;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"30";"2010";43,3;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"30";"2011";43,7;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"30";"2012";43,9;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"30";"2013";44,3;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"30";"2014";44,9;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"30";"2015";44,7;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"30";"2016";45,0;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"30";"2017";45,0;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"30";"2018";44,9;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"30";"2019";;"lata";"n";
0000000;"POLSKA";"mężczyźni";"ogółem";"45";"1995";26,7;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"45";"1996";26,9;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"45";"1997";27,1;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"45";"1998";27,4;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"45";"1999";27,3;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"45";"2000";27,9;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"45";"2001";28,3;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"45";"2002";28,5;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"45";"2003";28,5;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"45";"2004";28,6;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"45";"2005";28,7;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"45";"2006";28,8;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"45";"2007";28,8;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"45";"2008";29,1;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"45";"2009";29,3;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"45";"2010";29,7;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"45";"2011";30,0;"lata";"";
