"Kod";"Nazwa";"Wiek matki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"ogółem";"2002";353765;"-";"";
0000000;"POLSKA";"ogółem";"2003";351072;"-";"";
0000000;"POLSKA";"ogółem";"2004";356131;"-";"";
0000000;"POLSKA";"ogółem";"2005";364383;"-";"";
0000000;"POLSKA";"ogółem";"2006";374244;"-";"";
0000000;"POLSKA";"ogółem";"2007";387873;"-";"";
0000000;"POLSKA";"ogółem";"2008";414499;"-";"";
0000000;"POLSKA";"ogółem";"2009";417589;"-";"";
0000000;"POLSKA";"ogółem";"2010";413300;"-";"";
0000000;"POLSKA";"ogółem";"2011";388416;"-";"";
0000000;"POLSKA";"ogółem";"2012";386257;"-";"";
0000000;"POLSKA";"ogółem";"2013";369576;"-";"";
0000000;"POLSKA";"ogółem";"2014";375160;"-";"";
0000000;"POLSKA";"ogółem";"2015";369308;"-";"";
0000000;"POLSKA";"ogółem";"2016";382257;"-";"";
0000000;"POLSKA";"ogółem";"2017";401982;"-";"";
0000000;"POLSKA";"ogółem";"2018";388178;"-";"";
