"Kod";"Nazwa";"Wykaz";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"ogółem";"2010";330;"ob.";"";
0000000;"POLSKA";"ogółem";"2011";367;"ob.";"";
0000000;"POLSKA";"ogółem";"2012";361;"ob.";"";
0000000;"POLSKA";"ogółem";"2013";379;"ob.";"";
0000000;"POLSKA";"ogółem";"2014";388;"ob.";"";
0000000;"POLSKA";"ogółem";"2015";408;"ob.";"";
0000000;"POLSKA";"ogółem";"2016";400;"ob.";"";
0000000;"POLSKA";"ogółem";"2017";415;"ob.";"";
0000000;"POLSKA";"ogółem";"2018";430;"ob.";"";
0000000;"POLSKA";"łóżka stan w dniu 31.12";"2010";19250;"-";"";
0000000;"POLSKA";"łóżka stan w dniu 31.12";"2011";21118;"-";"";
0000000;"POLSKA";"łóżka stan w dniu 31.12";"2012";21187;"-";"";
0000000;"POLSKA";"łóżka stan w dniu 31.12";"2013";22302;"-";"";
0000000;"POLSKA";"łóżka stan w dniu 31.12";"2014";23099;"-";"";
0000000;"POLSKA";"łóżka stan w dniu 31.12";"2015";24872;"-";"";
0000000;"POLSKA";"łóżka stan w dniu 31.12";"2016";25176;"-";"";
0000000;"POLSKA";"łóżka stan w dniu 31.12";"2017";25615;"-";"";
0000000;"POLSKA";"łóżka stan w dniu 31.12";"2018";26559;"-";"";
0000000;"POLSKA";"pacjenci";"2010";39606;"osoba";"";
0000000;"POLSKA";"pacjenci";"2011";41779;"osoba";"";
0000000;"POLSKA";"pacjenci";"2012";43025;"osoba";"";
0000000;"POLSKA";"pacjenci";"2013";43766;"osoba";"";
0000000;"POLSKA";"pacjenci";"2014";44199;"osoba";"";
0000000;"POLSKA";"pacjenci";"2015";47624;"osoba";"";
0000000;"POLSKA";"pacjenci";"2016";47398;"osoba";"";
0000000;"POLSKA";"pacjenci";"2017";46720;"osoba";"";
0000000;"POLSKA";"pacjenci";"2018";47806;"osoba";"";
