"Kod";"Nazwa";"Wykaz";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"ogółem";"2002";271;"ob.";"";
0000000;"POLSKA";"ogółem";"2003";285;"ob.";"";
0000000;"POLSKA";"ogółem";"2010";137;"ob.";"";
0000000;"POLSKA";"ogółem";"2011";138;"ob.";"";
0000000;"POLSKA";"ogółem";"2012";158;"ob.";"";
0000000;"POLSKA";"ogółem";"2013";152;"ob.";"";
0000000;"POLSKA";"ogółem";"2014";155;"ob.";"";
0000000;"POLSKA";"ogółem";"2015";152;"ob.";"";
0000000;"POLSKA";"ogółem";"2016";154;"ob.";"";
0000000;"POLSKA";"ogółem";"2017";161;"ob.";"";
0000000;"POLSKA";"ogółem";"2018";160;"ob.";"";
0000000;"POLSKA";"łóżka stan w dniu 31.12";"2002";;"-";"";
0000000;"POLSKA";"łóżka stan w dniu 31.12";"2003";;"-";"";
0000000;"POLSKA";"łóżka stan w dniu 31.12";"2010";5688;"-";"";
0000000;"POLSKA";"łóżka stan w dniu 31.12";"2011";5699;"-";"";
0000000;"POLSKA";"łóżka stan w dniu 31.12";"2012";6755;"-";"";
0000000;"POLSKA";"łóżka stan w dniu 31.12";"2013";6401;"-";"";
0000000;"POLSKA";"łóżka stan w dniu 31.12";"2014";7027;"-";"";
0000000;"POLSKA";"łóżka stan w dniu 31.12";"2015";6706;"-";"";
0000000;"POLSKA";"łóżka stan w dniu 31.12";"2016";6749;"-";"";
0000000;"POLSKA";"łóżka stan w dniu 31.12";"2017";7528;"-";"";
0000000;"POLSKA";"łóżka stan w dniu 31.12";"2018";7565;"-";"";
0000000;"POLSKA";"miejsca (łącznie z filiami)";"2002";14806;"msc.";"";
0000000;"POLSKA";"miejsca (łącznie z filiami)";"2003";15689;"msc.";"";
0000000;"POLSKA";"miejsca (łącznie z filiami)";"2010";;"msc.";"";
0000000;"POLSKA";"miejsca (łącznie z filiami)";"2011";;"msc.";"";
0000000;"POLSKA";"miejsca (łącznie z filiami)";"2012";;"msc.";"";
0000000;"POLSKA";"miejsca (łącznie z filiami)";"2013";;"msc.";"";
0000000;"POLSKA";"miejsca (łącznie z filiami)";"2014";;"msc.";"";
0000000;"POLSKA";"miejsca (łącznie z filiami)";"2015";;"msc.";"";
0000000;"POLSKA";"miejsca (łącznie z filiami)";"2016";;"msc.";"";
0000000;"POLSKA";"miejsca (łącznie z filiami)";"2017";;"msc.";"";
0000000;"POLSKA";"miejsca (łącznie z filiami)";"2018";;"msc.";"";
0000000;"POLSKA";"pacjenci";"2002";13959;"osoba";"";
0000000;"POLSKA";"pacjenci";"2003";14579;"osoba";"";
0000000;"POLSKA";"pacjenci";"2010";13613;"osoba";"";
0000000;"POLSKA";"pacjenci";"2011";12716;"osoba";"";
0000000;"POLSKA";"pacjenci";"2012";15271;"osoba";"";
0000000;"POLSKA";"pacjenci";"2013";15054;"osoba";"";
0000000;"POLSKA";"pacjenci";"2014";14509;"osoba";"";
0000000;"POLSKA";"pacjenci";"2015";14183;"osoba";"";
0000000;"POLSKA";"pacjenci";"2016";13655;"osoba";"";
0000000;"POLSKA";"pacjenci";"2017";14821;"osoba";"";
0000000;"POLSKA";"pacjenci";"2018";14796;"osoba";"";
0000000;"POLSKA";"pacjenci w ciągu roku (łącznie z filiami)";"2002";34275;"osoba";"";
0000000;"POLSKA";"pacjenci w ciągu roku (łącznie z filiami)";"2003";36342;"osoba";"";
0000000;"POLSKA";"pacjenci w ciągu roku (łącznie z filiami)";"2010";;"osoba";"";
0000000;"POLSKA";"pacjenci w ciągu roku (łącznie z filiami)";"2011";;"osoba";"";
0000000;"POLSKA";"pacjenci w ciągu roku (łącznie z filiami)";"2012";;"osoba";"";
0000000;"POLSKA";"pacjenci w ciągu roku (łącznie z filiami)";"2013";;"osoba";"";
0000000;"POLSKA";"pacjenci w ciągu roku (łącznie z filiami)";"2014";;"osoba";"";
0000000;"POLSKA";"pacjenci w ciągu roku (łącznie z filiami)";"2015";;"osoba";"";
0000000;"POLSKA";"pacjenci w ciągu roku (łącznie z filiami)";"2016";;"osoba";"";
0000000;"POLSKA";"pacjenci w ciągu roku (łącznie z filiami)";"2017";;"osoba";"";
0000000;"POLSKA";"pacjenci w ciągu roku (łącznie z filiami)";"2018";;"osoba";"";
